id_installation,installation,code_commune,commune,epci_code,epci_nom,code_departement,departement,basins_total_on_site,school_basins_total_on_site,students_per_basin_on_site,students_per_school_basin_on_site,schools_total,schools_geolocated_total,students_total,students_geolocated_total,primary_students,secondary_students,distance_coverage_share,drive_time_coverage_share,average_distance_to_installation_km,average_drive_time_to_installation_min,average_drive_distance_to_installation_km,average_distance_to_basin_km,students_within_5km_installation_share,students_within_15min_installation_share,basins_total,installations_total,school_basins_total,students_per_basin,students_per_installation,students_per_school_basin
I021730004,Espace Aquatique Oasis,02173,Chauny,200071785,CA Chauny-Tergnier-La Fère,02,Aisne,3,2,2847.0,4270.5,52,47,8541,8541,3605,4936,1.0,1.0,4.2863,7.260019,5.282152,4.352828,0.661866,0.767826,3,1,2,2847.0,8541.0,4270.5
I592050005,Piscine Maurice Thorez,59205,Escaudain,200042190,CA de la Porte du Hainaut,59,Nord,2,2,4252.5,4252.5,34,27,8505,8505,4471,4034,1.0,1.0,4.229285,8.21072,6.955939,3.565301,0.693945,0.993416,2,1,2,4252.5,8505.0,4252.5
I620410045,PISCINE ELIE DESBIN,62041,Arras,200033579,CU d'Arras,62,Pas-de-Calais,2,2,4135.0,4135.0,32,28,8270,8270,3209,5061,1.0,1.0,1.620044,4.814567,2.514135,1.580052,0.952721,0.997219,2,1,2,4135.0,8270.0,4135.0
I601030008,PISCINE INTERCOMMUNALE,60103,Bresles,200067999,CA du Beauvaisis,60,Oise,2,2,4118.5,4118.5,61,53,8237,8237,5275,2962,1.0,1.0,9.942424,13.542926,12.914902,10.077887,0.108777,0.663955,2,1,2,4118.5,8237.0,4118.5
I621780006,Piscine Art Déco,62178,Bruay-la-Buissière,200072460,"CA de Béthune-Bruay, Artois-Lys Romane",62,Pas-de-Calais,2,0,4077.5,0.0,31,28,8155,8155,3824,4331,1.0,1.0,1.629178,4.925912,2.487177,1.644705,1.0,1.0,2,1,0,4077.5,8155.0,0.0
I596630011,Centre aquatique Linéo,59663,Wormhout,200040954,CC des Hauts de Flandre,59,Nord,2,2,4045.0,4045.0,49,44,8090,8090,4777,3313,1.0,1.0,7.940558,11.140036,10.483325,7.366546,0.278863,0.906428,2,1,2,4045.0,8090.0,4045.0
I602380004,PISCINE JEAN TOURSIERE,60238,Fleurines,200066975,CC Senlis Sud Oise,60,Oise,1,0,7894.0,0.0,36,30,7894,7894,2898,4996,1.0,1.0,8.571561,14.098102,11.155397,8.418452,0.025082,0.807575,1,1,0,7894.0,7894.0,0.0
I592860012,"Centre Aquatique Loos Haubourdin ""NEPTUNIA""",59286,Haubourdin,200093201,Métropole Européenne de Lille,59,Nord,3,3,2623.666667,2623.666667,30,28,7871,7871,3715,4156,1.0,1.0,1.633966,5.446692,2.513362,1.609068,0.982213,1.0,3,1,3,2623.666667,7871.0,2623.666667
I595080005,PISCINE,59508,Roncq,200093201,Métropole Européenne de Lille,59,Nord,1,1,7719.0,7719.0,22,20,7719,7719,4091,3628,1.0,1.0,4.537511,10.324021,6.642182,4.274362,0.69452,0.871356,1,1,1,7719.0,7719.0,7719.0
I594910002,piscine Louis Poncet,59491,Raismes,200042190,CA de la Porte du Hainaut,59,Nord,1,1,7488.0,7488.0,31,30,7488,7488,4776,2712,1.0,1.0,2.824815,6.539959,3.970524,2.562383,0.962073,1.0,1,1,1,7488.0,7488.0,7488.0
I590280009,PISCINE MUNICIPALE,59028,Auby,200044618,CA Douaisis Agglo,59,Nord,2,2,3713.5,3713.5,27,24,7427,7427,4990,2437,1.0,1.0,2.809124,7.477267,4.495361,2.830803,0.887842,0.976572,2,1,2,3713.5,7427.0,3713.5
I626170019,Piscine municipale,62617,Nœux-les-Mines,200072460,"CA de Béthune-Bruay, Artois-Lys Romane",62,Pas-de-Calais,2,2,3652.0,3652.0,35,30,7304,7304,4708,2596,1.0,1.0,2.93403,6.921713,3.941807,2.743758,0.799699,0.979326,2,1,2,3652.0,7304.0,3652.0
I026910035,Base Urbaine de Loisirs de Saint Quentin,02691,Saint-Quentin,200071892,CA du Saint-Quentinois,02,Aisne,5,0,1449.4,0.0,24,21,7247,7247,3148,4099,1.0,1.0,2.144006,5.787662,2.900033,2.071383,0.916655,0.95336,5,1,0,1449.4,7247.0,0.0
I803680002,Complexe sportif Viméo,80368,Friville-Escarbotin,200070944,CC du Vimeu,80,Somme,1,1,7114.0,7114.0,70,48,7114,7114,4034,3080,1.0,1.0,7.774634,12.37201,9.918068,9.029508,0.447006,0.574501,1,1,1,7114.0,7114.0,7114.0
I591830041,BASSIN D INITIATION DELEERSNYDER,59183,Dunkerque,245900428,CU de Dunkerque,59,Nord,1,1,7098.0,7098.0,32,30,7098,7098,4001,3097,1.0,1.0,2.053528,4.559281,2.714346,2.198652,0.968864,0.982953,1,1,1,7098.0,7098.0,7098.0
I805700001,Centre aquatique Alméo,80570,Moreuil,200070969,CC Avre Luce Noye,80,Somme,3,3,2335.333333,2335.333333,41,28,7006,7006,3576,3430,1.0,1.0,10.584621,14.239282,12.210498,10.36741,0.13203,0.480588,3,1,3,2335.333333,7006.0,2335.333333
I595710003,PISCINE,59571,Solesmes,245901038,CC du Pays Solesmois,59,Nord,2,2,3450.0,3450.0,34,29,6900,6900,3091,3809,1.0,1.0,7.159607,11.307368,8.728374,6.995313,0.280145,0.606667,2,1,2,3450.0,6900.0,3450.0
I602860002,PISCINE OCEANE,60286,Grandvilliers,246000848,CC de la Picardie Verte,60,Oise,2,2,3430.0,3430.0,66,52,6860,6860,4019,2841,1.0,1.0,11.228371,15.467265,13.039699,10.741599,0.168805,0.542857,2,1,2,3430.0,6860.0,3430.0
I026910012,Piscine Jean Bouin,02691,Saint-Quentin,200071892,CA du Saint-Quentinois,02,Aisne,3,3,2264.333333,2264.333333,23,20,6793,6793,2090,4703,1.0,1.0,1.657064,5.026336,2.626246,1.58276,0.952304,0.971147,3,1,3,2264.333333,6793.0,2264.333333
I604710011,PISCINE MUNICIPALE PAUL BOUTEFEU,60471,Noyon,246000756,CC du Pays Noyonnais,60,Oise,2,2,3396.0,3396.0,58,49,6792,6792,3527,3265,1.0,1.0,3.069827,5.830944,3.710574,3.02682,0.779594,0.942285,2,1,2,3396.0,6792.0,3396.0
I590080007,piscine municipale,59008,Aniche,245901152,CC Cœur d'Ostrevent,59,Nord,1,1,6214.0,6214.0,33,29,6214,6214,3641,2573,1.0,1.0,3.125664,6.671289,4.398398,3.277713,0.786933,0.99308,1,1,1,6214.0,6214.0,6214.0
I592910011,Piscine André Leduc,59291,Hautmont,200043396,CA Maubeuge Val de Sambre,59,Nord,2,2,3099.5,3099.5,34,32,6199,6199,3295,2904,1.0,1.0,4.55226,8.417174,5.891539,4.221667,0.696564,0.735764,2,1,2,3099.5,6199.0,3099.5
I591780041,PISCINE BEAU SOLEIL (TOURNESOL),59178,Douai,200044618,CA Douaisis Agglo,59,Nord,1,1,6188.0,6188.0,17,17,6188,6188,1989,4199,1.0,1.0,0.733845,2.860205,1.365461,0.73162,1.0,1.0,1,1,1,6188.0,6188.0,6188.0
I023810011,"Espace aquatique ""L'Ile Verte""",02381,Hirson,240200600,CC des Trois Rivières,02,Aisne,2,2,3086.0,3086.0,43,36,6172,6172,3499,2673,1.0,1.0,7.417338,11.671131,9.358519,7.476352,0.565295,0.628483,2,1,2,3086.0,6172.0,3086.0
I594490006,PISCINE MUNICIPALE,59449,Orchies,200041960,CC Pévèle-Carembault,59,Nord,1,1,6113.0,6113.0,30,26,6113,6113,3486,2627,1.0,1.0,3.683347,8.203844,5.157188,3.514084,0.674628,0.974317,1,1,1,6113.0,6113.0,6113.0
