epci_code,epci_nom,code_departement,departement,population_2023_communes,communes_total,communes_avec_licences_ffn,communes_avec_bassin,communes_avec_licences_sans_bassin,nb_qpv,pop_qpv,licences_ffn_2023,licences_toutes_2023,licences_hors_scol_2023,bassins_total,installations_total,bassins_dsp,part_dsp_bassins,bassins_regie,part_regie_bassins,bassins_prive_hors_dsp,part_autre_hors_dsp_bassins,bassins_usage_scolaires,part_bassins_usage_scolaires,bassins_site_scolaire_explicit,part_bassins_site_scolaire_explicit,bassins_qpv,bassins_qpv_200m,surface_totale_bassins_m2,bassins_pour_100k_hab,licences_ffn_pour_1000hab,licences_ffn_par_bassin,part_population_qpv
200040954,Communauté de communes des Hauts de Flandre,59,59 - Nord,53525,40,27,1,26,0,0,173,13379,8999,2,1,2,1.0,0,0.0,0,0.0,2,1.0,0,0.0,0,0,725.0,3.736571695469407,3.232134516581037,86.5,0.0
245901038,Communauté de communes du Pays Solesmois,59,59 - Nord,14568,15,3,1,3,0,0,13,2949,2224,2,1,0,0.0,2,1.0,0,0.0,2,1.0,0,0.0,0,0,468.5,13.72872048325096,0.8923668314113125,6.5,0.0
200043321,Communauté de communes du Pays de Mormal,59,59 - Nord,48132,53,36,0,36,1,1552,102,10575,7977,0,0,0,,0,,0,,0,,0,,0,0,0.0,0.0,2.119172276240339,,0.03224466051691183
200043404,Communauté de communes du Sud Avesnois,59,59 - Nord,24414,12,8,1,7,1,5754,71,4775,3153,2,1,0,0.0,2,1.0,0,0.0,2,1.0,0,0.0,0,2,675.0,8.192020971573687,2.908167444908659,35.5,0.235684443352175
245900428,Communauté urbaine de Dunkerque,59,59 - Nord,192635,17,17,6,11,7,30921,1954,44770,32750,14,8,0,0.0,14,1.0,0,0.0,13,0.9285714285714286,0,0.0,2,2,4521.0,7.267630492901082,10.1435357022348,139.5714285714286,0.160516001764996
200093201,Métropole Européenne de Lille,59,59 - Nord,1194040,95,92,19,73,26,242231,5864,289949,205763,43,22,10,0.2325581395348837,32,0.7441860465116279,1,0.02325581395348837,39,0.9069767441860465,0,0.0,4,16,12152.4,3.601219389635188,4.911058256004824,136.3720930232558,0.2028667381327259
200068047,Communauté d'agglomération Creil Sud Oise,60,60 - Oise,89897,11,11,1,10,7,36318,973,15533,12826,1,1,0,0.0,1,1.0,0,0.0,1,1.0,0,0.0,0,1,250.0,1.112384172997987,10.82349800327041,973.0,0.4039956839494088
200067965,Communauté d'agglomération de la Région de Compiègne et de la Basse Automne,60,60 - Oise,83708,22,22,1,21,3,10039,659,20712,16752,4,2,0,0.0,4,1.0,0,0.0,4,1.0,0,0.0,0,2,1075.0,4.778515792994696,7.872604768958761,164.75,0.1199288001146844
200067999,Communauté d'agglomération du Beauvaisis,60,60 - Oise,103404,53,34,2,32,3,16261,258,23467,17833,9,3,0,0.0,9,1.0,0,0.0,9,1.0,0,0.0,0,0,1860.0,8.703725194383196,2.495067889056516,28.66666666666667,0.1572569726509613
200066975,Communauté de communes Senlis Sud Oise,60,60 - Oise,25012,17,15,1,14,0,0,286,8712,6856,1,1,0,0.0,1,1.0,0,0.0,0,0.0,0,0.0,0,0,312.5,3.998080921157844,11.43451143451144,286.0,0.0
200067973,Communauté de communes Thelloise,60,60 - Oise,61730,41,28,1,27,0,0,122,15913,14409,2,1,2,1.0,0,0.0,0,0.0,1,0.5,0,0.0,0,0,410.0,3.239915762190183,1.976348614936012,61.0,0.0
246000764,Communauté de communes de l'Aire Cantilienne,60,60 - Oise,44820,11,9,1,8,0,0,105,15175,12729,4,1,4,1.0,0,0.0,0,0.0,2,0.5,0,0.0,0,0,775.0,8.92458723784025,2.342704149933065,26.25,0.0
200068005,Communauté de communes de l'Oise Picarde,60,60 - Oise,20939,52,13,1,13,0,0,36,3696,3307,2,1,2,1.0,0,0.0,0,0.0,1,0.5,0,0.0,0,0,516.5,9.551554515497397,1.719279812789531,18.0,0.0
