id_installation,installation,commune,departement,epci_nom,current_status,priority_label,priority_score,suggested_status,suggested_status_label,confidence,ready_for_override,evidence_domain_type,evidence_url,evidence_title,evidence_snippet,evidence_origin,query_used,review_comment
I595080005,PISCINE,Roncq,Nord,Métropole Européenne de Lille,Ouvert probable,,1,,,,0,,,,,,,Aucune evidence suffisamment fiable detectee.
I623180002,PISCINE,Étaples,Pas-de-Calais,CA des Deux Baies en Montreuillois,Ouvert probable,,1,,,,0,,,,,,,Aucune evidence suffisamment fiable detectee.
I591780041,PISCINE BEAU SOLEIL (TOURNESOL),Douai,Nord,CA Douaisis Agglo,Ouvert probable,,1,,,,0,,,,,,,Aucune evidence suffisamment fiable detectee.
I593240009,PISCINE COUBERTIN,Jeumont,Nord,CA Maubeuge Val de Sambre,Ouvert probable,,1,,,,0,,,,,,,Aucune evidence suffisamment fiable detectee.
I592990008,PISCINE DES TROIS VILLES,Hem,Nord,Métropole Européenne de Lille,Ouvert probable,,1,,,,0,,,,,,,Aucune evidence suffisamment fiable detectee.
I606360002,PISCINE GEORGES BONICHOT,Thourotte,Oise,CC des Deux Vallées,Ouvert probable,,1,,,,0,,,,,,,Aucune evidence suffisamment fiable detectee.
I620570009,PISCINE INTERCOMMUNALE,Audruicq,Pas-de-Calais,CC de la Région d'Audruicq,Ouvert probable,,1,,,,0,,,,,,,Aucune evidence suffisamment fiable detectee.
I620800008,PISCINE INTERCOMMUNALE,Bapaume,Pas-de-Calais,CC du Sud-Artois,Ouvert probable,,1,,,,0,,,,,,,Aucune evidence suffisamment fiable detectee.
I620650002,PISCINE MUNICIPALE,Avion,Pas-de-Calais,CA de Lens - Liévin,Ouvert probable,,1,,,,0,,,,,,,Aucune evidence suffisamment fiable detectee.
I592790009,PISCINE MUNICIPALE PHILIPPE CROIZON,Halluin,Nord,Métropole Européenne de Lille,Ouvert probable,,1,,,,0,,,,,,,Aucune evidence suffisamment fiable detectee.
I595690010,PISCINE TOURNESOL,Sin-le-Noble,Nord,CA Douaisis Agglo,Ouvert probable,,1,,,,0,,,,,,,Aucune evidence suffisamment fiable detectee.
I622700008,PISCINE TOURNESOL,Divion,Pas-de-Calais,"CA de Béthune-Bruay, Artois-Lys Romane",Ouvert probable,,1,,,,0,,,,,,,Aucune evidence suffisamment fiable detectee.
I593920011,PISCINE TOURNESOL DE L'EPINETTE,Maubeuge,Nord,CA Maubeuge Val de Sambre,Ouvert probable,,1,,,,0,,,,,,,Aucune evidence suffisamment fiable detectee.
I800160008,Piscine Caneton,Albert,Somme,CC du Pays du Coquelicot,Ouvert probable,,1,,,,0,,,,,,,Aucune evidence suffisamment fiable detectee.
I590940007,Piscine Municipale,Bourbourg,Nord,CU de Dunkerque,Ouvert probable,,1,,,,0,,,,,,,Aucune evidence suffisamment fiable detectee.
I591070012,Piscine Municipale,Bray-Dunes,Nord,CU de Dunkerque,Ouvert probable,,1,,,,0,,,,,,,Aucune evidence suffisamment fiable detectee.
I593280017,Piscine Municipale,Lambersart,Nord,Métropole Européenne de Lille,Ouvert probable,,1,,,,0,,,,,,,Aucune evidence suffisamment fiable detectee.
I596480018,Piscine ZEN & O,Wattignies,Nord,Métropole Européenne de Lille,Ouvert probable,,1,,,,0,,,,,,,Aucune evidence suffisamment fiable detectee.
I620830008,"Piscine communautaire à Barlin ""Le NAUTILUD""",Barlin,Pas-de-Calais,"CA de Béthune-Bruay, Artois-Lys Romane",Ouvert probable,,1,,,,0,,,,,,,Aucune evidence suffisamment fiable detectee.
I591220021,Piscine les Ondines,Cambrai,Nord,CA de Cambrai,Ouvert probable,,1,,,,0,,,,,,,Aucune evidence suffisamment fiable detectee.
I601750010,Piscine municipale,Creil,Oise,CA Creil Sud Oise,Ouvert probable,,1,,,,0,,,,,,,Aucune evidence suffisamment fiable detectee.
I593500021,Piscine plein Sud,Lille,Nord,Métropole Européenne de Lille,Ouvert probable,,1,,,,0,,,,,,,Aucune evidence suffisamment fiable detectee.
I591970005,SWIM CENTER PEVELE,Ennevelin,Nord,CC Pévèle-Carembault,Ouvert probable,,1,,,,0,,,,,,,Aucune evidence suffisamment fiable detectee.
I595690016,Sourcéane,Sin-le-Noble,Nord,CA Douaisis Agglo,Ouvert probable,,1,,,,0,,,,,,,Aucune evidence suffisamment fiable detectee.
I594910002,piscine Louis Poncet,Raismes,Nord,CA de la Porte du Hainaut,Ouvert probable,,1,,,,0,,,,,,,Aucune evidence suffisamment fiable detectee.
I590080007,piscine municipale,Aniche,Nord,CC Cœur d'Ostrevent,Ouvert probable,,1,,,,0,,,,,,,Aucune evidence suffisamment fiable detectee.
I622500003,piscine municipale,Courrières,Pas-de-Calais,CA d'Hénin-Carvin,Ouvert probable,,1,,,,0,,,,,,,Aucune evidence suffisamment fiable detectee.
I627650014,Base Nautique d'aviron,Saint-Omer,Pas-de-Calais,CA du Pays de Saint-Omer,Ouvert probable,,0,,,,0,,,,,,,Aucune evidence suffisamment fiable detectee.
I802530014,Piscine municipale Centre Nautique Marc Revaux,Doullens,Somme,CC du Territoire Nord Picardie,Ouvert probable,,0,,,,0,,,,,,,Aucune evidence suffisamment fiable detectee.
I802530004,Stand de tir de la Citadelle,Doullens,Somme,CC du Territoire Nord Picardie,Ouvert probable,,0,,,,0,,,,,,,Aucune evidence suffisamment fiable detectee.
