code_fede_ref,sexe,trage_full,trage,code_departement,departement,newreg,newreg_l,licences_ffn_2024,population_reference,licences_pour_1000hab,rank_fede_dep,lics_pop_fr,indice_specificite,fede_gp
119,F,d - de 15 à 19 ans,15 à 19 ans,59,59 - Nord,32,32 - Hauts-de-France,466,88941,5.23942838510923,86.0,7.08748734116934,0.739250475224806,1. Olympique
119,F,e - de 20 à 24 ans,20 à 24 ans,59,59 - Nord,32,32 - Hauts-de-France,166,89414,1.85653253405507,70.0,2.33246599541356,0.795952668851619,1. Olympique
119,F,f - de 25 à 29 ans,25 à 29 ans,59,59 - Nord,32,32 - Hauts-de-France,102,80332,1.26973061793557,86.0,2.52082391549297,0.503696672398182,1. Olympique
119,F,g - de 30 à 34 ans,30 à 34 ans,59,59 - Nord,32,32 - Hauts-de-France,80,82491,0.969802766362391,95.0,2.52900377398505,0.383472249562615,1. Olympique
119,F,h - de 35 à 39 ans,35 à 39 ans,59,59 - Nord,32,32 - Hauts-de-France,121,86911,1.39222883179344,93.0,3.25883505634585,0.427216722454973,1. Olympique
119,F,i - de 40 à 44 ans,40 à 44 ans,59,59 - Nord,32,32 - Hauts-de-France,170,85929,1.97837749770159,90.0,4.22773052142458,0.4679526019163,1. Olympique
119,F,j - de 45 à 49 ans,45 à 49 ans,59,59 - Nord,32,32 - Hauts-de-France,172,79544,2.1623252539475,88.0,4.63519484800757,0.466501479409646,1. Olympique
119,F,k - de 50 à 54 ans,50 à 54 ans,59,59 - Nord,32,32 - Hauts-de-France,202,84613,2.38734000685474,74.0,4.13429727814561,0.577447591752655,1. Olympique
119,F,l - de 55 à 59 ans,55 à 59 ans,59,59 - Nord,32,32 - Hauts-de-France,123,80440,1.52909000497265,79.0,3.59214752576764,0.42567572573342,1. Olympique
119,F,m - de 60 à 64 ans,60 à 64 ans,59,59 - Nord,32,32 - Hauts-de-France,102,78092,1.30615171848589,83.0,3.50748341809638,0.372389990996672,1. Olympique
119,F,n - de 65 à 69 ans,65 à 69 ans,59,59 - Nord,32,32 - Hauts-de-France,105,75392,1.39272071307301,70.0,3.15134776176522,0.441944468957269,1. Olympique
119,F,o - de 70 à 74 ans,70 à 74 ans,59,59 - Nord,32,32 - Hauts-de-France,67,71568,0.936172591102169,74.0,2.47981865669739,0.377516552903493,1. Olympique
119,F,p - de 75 à 79 ans,75 à 79 ans,59,59 - Nord,32,32 - Hauts-de-France,49,56346,0.869626947786888,62.0,1.87635334592826,0.463466515874531,1. Olympique
