id_equipement,id_installation,installation,equipement,code_commune,commune,dep_code,departement,epci_code,epci_nom,type_equipement,categorie,proprietaire,type_proprietaire,type_gestionnaire,gestion_dsp_source,mode_gestion_calcule,surface_bassin_m2,longueur_m,largeur_m,profondeur_min_m,profondeur_max_m,nb_couloirs,type_utilisation,usage_scolaires,site_scolaire_explicit,particularite_installation,uai,qpv,qpv_flag,qpv_200m,qpv_200m_flag,longitude,latitude,activites
E005I027200001,I027200001,Espace sportif - Centre aquatique Rêvéo,"Piscine, bassin 1",2720,Sissonne,2,Aisne,240200576,CC de la Champagne Picarde,Bassin sportif de natation,structurant,,Commune,Commune,,Régie publique,250.0,25.0,10.0,0.9,2.1,,"[""Individuel(s),famille(s),Clubs sportifs,comités,ligues,fédérations,Scolaires,universités,Autre - association(s) et groupes divers""]",1,0,"Complexe sportif, Piscine",,,0,,0,3.8984,49.5666,"Baignade loisirs, Natation course sportive"
E007I027200001,I027200001,Espace sportif - Centre aquatique Rêvéo,"Piscine, bassin 2",2720,Sissonne,2,Aisne,240200576,CC de la Champagne Picarde,Bassin ludique de natation,,Communauté de Communes Champagne Picarde,EPCI,,False,Autre gestion hors DSP,149.0,,,1.3,1.3,,"[""Individuel(s),famille(s),Clubs sportifs,comités,ligues,fédérations,Scolaires,universités,Autre - association(s) et groupes divers""]",1,0,"Complexe sportif, Piscine",,,0,,0,3.89847278595,49.5662167661,"Aquagym, Baignade loisirs"
E001I023810011,I023810011,"Espace aquatique ""L'Ile Verte""",Grand bassin,2381,Hirson,2,Aisne,240200600,CC des Trois Rivières,Bassin ludique de natation,,,EPCI,Etablissement privé commercial,True,DSP,200.0,25.0,8.0,1.2,2.5,,"[""Individuel(s),famille(s),Clubs sportifs,comités,ligues,fédérations,Scolaires,universités,Autre - association(s) et groupes divers""]",1,0,"Base de plein air et/ou de loisirs, Piscine",,,0,,0,4.09963,49.92398,"Baignade loisirs, Natation course sportive"
E002I023810011,I023810011,"Espace aquatique ""L'Ile Verte""",Petit bassin,2381,Hirson,2,Aisne,240200600,CC des Trois Rivières,Bassin ludique de natation,,,EPCI,Etablissement privé commercial,True,DSP,400.0,45.0,20.0,0.6,1.2,,"[""Individuel(s),famille(s),Scolaires,universités,Autre - association(s) et groupes divers""]",1,0,"Base de plein air et/ou de loisirs, Piscine",,,0,,0,4.09963,49.92398,Baignade loisirs
E002I023340006,I023340006,Piscine,Grand Bassin,2334,Fresnoy-le-Grand,2,Aisne,240200493,CC du Pays du Vermandois,Bassin sportif de natation,structurant,Communauté de Communes du Pays du Vermandois,EPCI,EPCI,False,Régie publique,312.5,25.0,12.5,2.0,3.0,,"[""Individuel(s),famille(s),Clubs sportifs,comités,ligues,fédérations,Scolaires,universités,Autre - association(s) et groupes divers""]",1,0,Piscine,,,0,,0,3.43584,49.96573,"Baignade loisirs, Natation course sportive"
E001I023340006,I023340006,Piscine,Petit Bassin,2334,Fresnoy-le-Grand,2,Aisne,240200493,CC du Pays du Vermandois,Bassin ludique de natation,,Communauté de Communes du Pays du Vermandois,EPCI,EPCI,False,Régie publique,169.0,13.0,13.0,0.8,1.3,,"[""Individuel(s),famille(s),Clubs sportifs,comités,ligues,fédérations,Scolaires,universités,Autre - association(s) et groupes divers""]",1,0,Piscine,,,0,,0,3.43639,49.96571,"Baignade loisirs, Natation course sportive"
E002I590280009,I590280009,PISCINE MUNICIPALE,BASSIN LUDIQUE,59028,Auby,59,Nord,200044618,CA Douaisis Agglo,Bassin ludique de natation,,,Commune,Commune,False,Régie publique,70.0,,,1.0,1.3,,"[""Individuel(s),famille(s),Scolaires,universités""]",1,0,Piscine,,,0,,0,3.05825,50.41721,"Aquagym, Baignade loisirs"
E001I590280009,I590280009,PISCINE MUNICIPALE,BASSIN SPORTIF,59028,Auby,59,Nord,200044618,CA Douaisis Agglo,Bassin sportif de natation,structurant,,Commune,Commune,False,Régie publique,250.0,25.0,10.0,1.1,2.2,,"[""Individuel(s),famille(s),Clubs sportifs,comités,ligues,fédérations,Scolaires,universités,Autre - association(s) et groupes divers""]",1,0,Piscine,,,0,,0,3.05825,50.41721,Natation course sportive
E001I591780041,I591780041,PISCINE BEAU SOLEIL (TOURNESOL),BASSIN SPORTIF,59178,Douai,59,Nord,200044618,CA Douaisis Agglo,Bassin sportif de natation,structurant,Ville de Douai,Commune,Commune,False,Régie publique,250.0,25.0,10.0,0.8,2.0,,"[""Individuel(s),famille(s),Clubs sportifs,comités,ligues,fédérations,Scolaires,universités,Autre - association(s) et groupes divers""]",1,0,Piscine,,,0,,0,3.07069,50.37867,"Baignade loisirs, Natation course sportive"
E003I591780040,I591780040,PISCINE DES GLACIS,BASSIN D'APPRENTISSAGE,59178,Douai,59,Nord,200044618,CA Douaisis Agglo,Bassin mixte de natation,structurant,Ville de Douai,Commune,Commune,False,Régie publique,125.0,10.0,12.5,0.5,1.2,,"[""Individuel(s),famille(s),Clubs sportifs,comités,ligues,fédérations,Scolaires,universités,Autre - association(s) et groupes divers""]",1,0,Piscine,,,0,,0,3.08011,50.36233,"Aquagym, Baignade loisirs"
