id_installation,installation,code_commune,commune,epci_code,epci_nom,code_departement,departement,basins_total_on_site,school_basins_total_on_site,students_per_basin_on_site,students_per_school_basin_on_site,schools_total,schools_geolocated_total,students_total,students_geolocated_total,primary_students,secondary_students,distance_coverage_share,drive_time_coverage_share,average_distance_to_installation_km,average_drive_time_to_installation_min,average_drive_distance_to_installation_km,average_distance_to_basin_km,students_within_5km_installation_share,students_within_15min_installation_share,basins_total,installations_total,school_basins_total,students_per_basin,students_per_installation,students_per_school_basin
I602820009,PISCINE AQUALIS,60282,Gouvieux,246000764,CC de l'Aire Cantilienne,60,Oise,4,2,2393.25,4786.5,43,43,9573,9573,5220,4353,1.0,1.0,3.820325,10.236019,5.844816,3.807211,0.7986,0.869842,4,1,2,2393.25,9573.0,4786.5
I622890007,PISCINE MUNICIPALE,62289,Écuires,200069029,CA des Deux Baies en Montreuillois,62,Pas-de-Calais,2,2,4753.0,4753.0,66,66,9506,9506,4809,4697,1.0,1.0,8.841036,12.968928,10.375504,8.238457,0.35304,0.487376,2,1,2,4753.0,9506.0,4753.0
I601030008,PISCINE INTERCOMMUNALE,60103,Bresles,200067999,CA du Beauvaisis,60,Oise,2,2,4736.0,4736.0,64,64,9472,9472,5292,4180,1.0,1.0,9.499457,12.781665,12.31207,9.429842,0.150655,0.705976,2,1,2,4736.0,9472.0,4736.0
I596480018,Piscine ZEN & O,59648,Wattignies,200093201,Métropole Européenne de Lille,59,Nord,1,1,9452.0,9452.0,33,33,9452,9452,4967,4485,1.0,1.0,4.146728,8.417562,5.331052,4.127169,0.57628,0.965193,1,1,1,9452.0,9452.0,9452.0
I593500108,Piscine Olympique Marx Dormoy,59350,Lille,200093201,Métropole Européenne de Lille,59,Nord,2,2,4694.0,4694.0,24,24,9388,9388,2928,6460,1.0,1.0,1.211521,4.79041,1.969894,1.211521,1.0,1.0,2,1,2,4694.0,9388.0,4694.0
I592050005,Piscine Maurice Thorez,59205,Escaudain,200042190,CA de la Porte du Hainaut,59,Nord,2,2,4618.5,4618.5,46,46,9237,9237,5103,4134,1.0,1.0,4.119904,7.92069,6.65797,3.569833,0.682256,0.993937,2,1,2,4618.5,9237.0,4618.5
I593500093,PISCINE MUNICIPALE/59355/LOMME,59350,Lille,200093201,Métropole Européenne de Lille,59,Nord,2,2,4593.0,4593.0,38,38,9186,9186,4821,4365,1.0,1.0,1.813884,4.777048,2.376523,1.696519,1.0,1.0,2,1,2,4593.0,9186.0,4593.0
I627580010,Hélicéa,62758,Saint-Martin-Boulogne,246200729,CA du Boulonnais,62,Pas-de-Calais,2,1,4591.0,9182.0,54,54,9182,9182,4543,4639,1.0,1.0,5.945466,9.187345,8.652894,5.691055,0.558811,0.838924,2,1,1,4591.0,9182.0,9182.0
I591780040,PISCINE DES GLACIS,59178,Douai,200044618,CA Douaisis Agglo,59,Nord,3,3,3033.0,3033.0,34,34,9099,9099,3912,5187,1.0,1.0,1.463234,3.778006,2.151332,1.348421,0.948236,1.0,3,1,3,3033.0,9099.0,3033.0
I592860012,"Centre Aquatique Loos Haubourdin ""NEPTUNIA""",59286,Haubourdin,200093201,Métropole Européenne de Lille,59,Nord,3,3,3015.0,3015.0,39,39,9045,9045,4830,4215,1.0,1.0,1.5925,5.419071,2.496272,1.561488,0.984522,1.0,3,1,3,3015.0,9045.0,3015.0
I621330012,Centre Aquatique Louis Aragon,62133,Billy-Montigny,246200364,CA de Lens - Liévin,62,Pas-de-Calais,2,2,4492.5,4492.5,45,45,8985,8985,5989,2996,1.0,1.0,2.215113,5.691835,3.135848,2.174861,1.0,1.0,2,1,2,4492.5,8985.0,4492.5
I021730004,Espace Aquatique Oasis,02173,Chauny,200071785,CA Chauny-Tergnier-La Fère,02,Aisne,3,2,2896.333333,4344.5,61,61,8689,8689,3691,4998,1.0,1.0,4.169241,7.176015,5.117717,3.831533,0.616527,0.82334,3,1,2,2896.333333,8689.0,4344.5
I621930039,Complexe Icéo,62193,Calais,200090751,CA Grand Calais Terres et Mers,62,Pas-de-Calais,6,2,1429.666667,4289.0,33,33,8578,8578,4688,3890,1.0,1.0,2.097503,5.377051,3.16845,2.049807,0.965959,1.0,6,1,2,1429.666667,8578.0,4289.0
I595080005,PISCINE,59508,Roncq,200093201,Métropole Européenne de Lille,59,Nord,1,1,8511.0,8511.0,26,26,8511,8511,4883,3628,1.0,1.0,4.371129,9.977068,6.353531,4.246831,0.722947,0.883327,1,1,1,8511.0,8511.0,8511.0
I026910035,Base Urbaine de Loisirs de Saint Quentin,02691,Saint-Quentin,200071892,CA du Saint-Quentinois,02,Aisne,5,0,1701.6,0.0,32,32,8508,8508,4071,4437,1.0,1.0,2.433846,5.992126,3.214223,2.344706,0.881523,0.912788,5,1,0,1701.6,8508.0,0.0
I602380004,PISCINE JEAN TOURSIERE,60238,Fleurines,200066975,CC Senlis Sud Oise,60,Oise,1,0,8476.0,0.0,37,37,8476,8476,2898,5578,1.0,1.0,9.706122,15.39285,12.596622,9.182072,0.02336,0.705521,1,1,0,8476.0,8476.0,0.0
I594910002,piscine Louis Poncet,59491,Raismes,200042190,CA de la Porte du Hainaut,59,Nord,1,1,8450.0,8450.0,40,40,8450,8450,5791,2659,1.0,1.0,2.776725,6.469961,3.889034,2.491626,0.95787,1.0,1,1,1,8450.0,8450.0,8450.0
I620410045,PISCINE ELIE DESBIN,62041,Arras,200033579,CU d'Arras,62,Pas-de-Calais,2,2,4135.0,4135.0,32,32,8270,8270,3209,5061,1.0,1.0,1.620044,4.814567,2.514135,1.584629,0.952721,0.997219,2,1,2,4135.0,8270.0,4135.0
I595260001,Centre Aquatique intercommunal de Saint-Amand-les-Eaux,59526,Saint-Amand-les-Eaux,200042190,CA de la Porte du Hainaut,59,Nord,2,2,4128.5,4128.5,42,42,8257,8257,4368,3889,1.0,1.0,2.931196,6.973819,3.866721,2.895787,0.751605,0.937508,2,1,2,4128.5,8257.0,4128.5
I621780006,Piscine Art Déco,62178,Bruay-la-Buissière,200072460,"CA de Béthune-Bruay, Artois-Lys Romane",62,Pas-de-Calais,2,0,3939.0,0.0,31,31,7878,7878,3493,4385,1.0,1.0,1.606764,4.894573,2.464285,1.576984,1.0,1.0,2,1,0,3939.0,7878.0,0.0
I596630011,Centre aquatique Linéo,59663,Wormhout,200040954,CC des Hauts de Flandre,59,Nord,2,2,3844.0,3844.0,52,52,7688,7688,4375,3313,1.0,1.0,7.80579,11.016947,10.465367,7.339909,0.271592,0.9282,2,1,2,3844.0,7688.0,3844.0
I591830041,BASSIN D INITIATION DELEERSNYDER,59183,Dunkerque,245900428,CU de Dunkerque,59,Nord,1,1,7595.0,7595.0,40,40,7595,7595,4647,2948,1.0,1.0,2.117112,4.653905,2.789656,2.030039,0.970902,0.984068,1,1,1,7595.0,7595.0,7595.0
I595710003,PISCINE,59571,Solesmes,245901038,CC du Pays Solesmois,59,Nord,2,2,3712.5,3712.5,45,45,7425,7425,3677,3748,1.0,1.0,7.146179,11.308419,8.736735,7.038939,0.298451,0.589764,2,1,2,3712.5,7425.0,3712.5
I602860002,PISCINE OCEANE,60286,Grandvilliers,246000848,CC de la Picardie Verte,60,Oise,2,2,3649.5,3649.5,68,68,7299,7299,4019,3280,1.0,1.0,11.687313,16.033359,13.624807,11.584362,0.158652,0.438142,2,1,2,3649.5,7299.0,3649.5
I803680002,Complexe sportif Viméo,80368,Friville-Escarbotin,200070944,CC du Vimeu,80,Somme,1,1,7163.0,7163.0,70,70,7163,7163,4034,3129,1.0,1.0,7.727066,12.306668,9.859312,7.453298,0.450789,0.577412,1,1,1,7163.0,7163.0,7163.0
I626170019,Piscine municipale,62617,Nœux-les-Mines,200072460,"CA de Béthune-Bruay, Artois-Lys Romane",62,Pas-de-Calais,2,2,3530.5,3530.5,35,35,7061,7061,4456,2605,1.0,1.0,2.913702,6.881851,3.92419,2.888684,0.792806,0.978615,2,1,2,3530.5,7061.0,3530.5
I594490006,PISCINE MUNICIPALE,59449,Orchies,200041960,CC Pévèle-Carembault,59,Nord,1,1,7029.0,7029.0,35,35,7029,7029,4292,2737,1.0,1.0,3.626495,8.101657,5.07717,3.542143,0.682885,0.957604,1,1,1,7029.0,7029.0,7029.0
I805700001,Centre aquatique Alméo,80570,Moreuil,200070969,CC Avre Luce Noye,80,Somme,3,3,2306.333333,2306.333333,41,41,6919,6919,3576,3343,1.0,1.0,10.538469,14.1886,12.157832,10.538469,0.13369,0.486631,3,1,3,2306.333333,6919.0,2306.333333
I604710011,PISCINE MUNICIPALE PAUL BOUTEFEU,60471,Noyon,246000756,CC du Pays Noyonnais,60,Oise,2,2,3443.5,3443.5,58,58,6887,6887,3527,3360,1.0,1.0,3.049373,5.804308,3.685874,3.004869,0.782634,0.943081,2,1,2,3443.5,6887.0,3443.5
I592910011,Piscine André Leduc,59291,Hautmont,200043396,CA Maubeuge Val de Sambre,59,Nord,2,2,3383.5,3383.5,41,41,6767,6767,4013,2754,1.0,1.0,4.214217,7.894416,5.441593,4.148033,0.734151,0.770061,2,1,2,3383.5,6767.0,3383.5
I590280009,PISCINE MUNICIPALE,59028,Auby,200044618,CA Douaisis Agglo,59,Nord,2,2,3358.0,3358.0,30,30,6716,6716,4279,2437,1.0,1.0,2.838326,7.502594,4.512909,2.838326,0.875968,0.974092,2,1,2,3358.0,6716.0,3358.0
I592710025,Piscine Léo Lagrange,59271,Grande-Synthe,245900428,CU de Dunkerque,59,Nord,2,2,3256.0,3256.0,37,37,6512,6512,3495,3017,1.0,1.0,1.838558,3.81092,2.521367,1.765708,0.847052,1.0,2,1,2,3256.0,6512.0,3256.0
I026910012,Piscine Jean Bouin,02691,Saint-Quentin,200071892,CA du Saint-Quentinois,02,Aisne,3,3,2157.333333,2157.333333,25,25,6472,6472,2164,4308,1.0,1.0,1.792813,5.185385,2.778249,1.724537,0.935105,0.969716,3,1,3,2157.333333,6472.0,2157.333333
I591780041,PISCINE BEAU SOLEIL (TOURNESOL),59178,Douai,200044618,CA Douaisis Agglo,59,Nord,1,1,6362.0,6362.0,22,22,6362,6362,2173,4189,1.0,1.0,0.734138,2.847114,1.367622,0.732752,1.0,1.0,1,1,1,6362.0,6362.0,6362.0
I595690010,PISCINE TOURNESOL,59569,Sin-le-Noble,200044618,CA Douaisis Agglo,59,Nord,1,1,6286.0,6286.0,33,33,6286,6286,3855,2431,1.0,1.0,3.368882,6.36395,5.155416,3.20477,0.709672,1.0,1,1,1,6286.0,6286.0,6286.0
I590080007,piscine municipale,59008,Aniche,245901152,CC Cœur d'Ostrevent,59,Nord,1,1,6251.0,6251.0,38,38,6251,6251,3699,2552,1.0,1.0,3.19807,6.646551,4.406097,3.148539,0.75236,0.993121,1,1,1,6251.0,6251.0,6251.0
I591830058,PISCINE PAUL ASSEMAN,59183,Dunkerque,245900428,CU de Dunkerque,59,Nord,2,2,3118.5,3118.5,16,16,6237,6237,1250,4987,1.0,1.0,1.252917,4.304582,2.086351,1.220641,1.0,1.0,2,1,2,3118.5,6237.0,3118.5
I591390015,Espace Nautique Intercommunal (ENI),59139,Caudry,200030633,CA du Caudrésis et du Catésis,59,Nord,4,4,1514.25,1514.25,36,36,6057,6057,3353,2704,1.0,1.0,3.55732,7.695168,5.048902,3.496077,0.728413,0.857355,4,1,4,1514.25,6057.0,1514.25
I623610002,COMPLEXE SIDONIE GUITTARD,62361,Frévent,200069672,CC du Ternois,62,Pas-de-Calais,2,0,2978.5,0.0,47,47,5957,5957,3040,2917,1.0,1.0,12.298844,16.912736,14.128795,12.294052,0.190029,0.275138,2,1,0,2978.5,5957.0,0.0
I620650002,PISCINE MUNICIPALE,62065,Avion,246200364,CA de Lens - Liévin,62,Pas-de-Calais,1,1,5778.0,5778.0,32,32,5778,5778,3645,2133,1.0,1.0,1.8487,4.867326,2.720347,1.84724,0.953963,1.0,1,1,1,5778.0,5778.0,5778.0
I620480002,COMPLEXE BASLY,62048,Auchel,200072460,"CA de Béthune-Bruay, Artois-Lys Romane",62,Pas-de-Calais,2,2,2710.0,2710.0,42,42,5420,5420,3027,2393,1.0,1.0,2.067155,5.053506,2.789935,2.055987,0.851292,0.986347,2,1,2,2710.0,5420.0,2710.0
